0.30 2.5812 2.3626 2.1704 2.0009 2.3989 2.5712 
0.35 2.4096 2.1835 1.9898 1.8256 2.2249 2.3939
0.40 2.2577 2.0298 1.8407 1.6868 2.0799 2.2395
0.45 2.1241 1.8990 1.7185 1.5764 1.9572 2.1052
0.50 2.0070 1.7881 1.6181 1.4880 1.8523 1.9885
0.55 1.9046 1.6940 1.5350 1.4162 1.7618 1.8871
0.60 1.8150 1.6138 1.4658 1.3572 1.6833 1.7987
0.65 l.7364 l.5452 1.4075 1.3081 1.6147 1.7214
0.70 1.6674 1.4861 1.3581 1.2667 1.5544 1.6537
0.75 1.6065 1.4349 1.3157 1.2314 1.5011 1.5940
0.80 1.5526 1.3903 1.2791 1.2011 1.4538 1.5412
0.85 1.5048 1.3512 1.2471 1.1747 1.4115 1.4943
0.90 1.4620 1.3166 1.2191 1.1515 1.3737 1.4525
0.95 1.4238 1.2860 1.1944 1.1310 1.3396 1.4150
1.00 1.3893 1.2586 1.1723 1.1128 1.3089 1.3814
1.05 1.3582 1.2340 1.1526 1.0964 1.2809 1.3510
1.10 1.3301 1.2119 1.1348 1.0816 1.2555 1.3234
1.15 1.3044 1.1919 1.1186 1.0682 1.2323 1.2984
1.20 1.2810 1.1736 1.1040 1.0560 1.2110 1.2755
1.25 1.2596 1.1570 1.0906 1.0447 1.1914 1.2546
1.30 1.2399 1.1417 1.0783 1.0344 1.1733 1.2354
1.35 1.2218 1.1276 1.0669 1.0248 1.1567 1.2176
1.40 1.2050 1.1147 1.0564 1.0159 1.1412 1.2013
1.45 1.1895 1.1026 1.0466 1.0077 1.1268 1.1861
1.50 1.1750 1.0915 1.0376 0.9999 1.1134 1.1721
1.55 1.1616 1.0810 1.0291 0.9927 1.1008 1.1589
1.60 1.1490 1.0713 1.0211 0.9858 1.0891 1.1467
1.65 1.1373 1.0622 1.0136 0.9794 1.0781 1.1353
1.70 1.1262 1.0536 1.0066 0.9733 1.0678 1.1245
1.75 1.1159 1.0456 0.9999 0.9675 1.0580 1.1145
1.80 1.1061 1.0380 0.9936 0.9621 1.0488 1.1050
1.85 1.0969 l.0308 0.9876 0.9569 1.0401 1.0960
1.90 l.0882 1.0240 0.9820 0.9519 1.0319 1.0876
1.95 1.0800 1.0175 0.9765 0.9471 1.0241 1.0796
2.00 1.0722 1.0114 0.9714 0.9426 1.0167 1.0720
2.10 1.0577 0.9999 0.9618 0.9341 1.0029 1.0579
2.20 1.0446 0.9895 0.9529 0.9262 0.9904 1.0452
2.30 1.0326 0.9799 0.9447 0.9189 0.9790 1.0335
2.40 l.0216 0.9711 0.9372 0.9121 0.9684 l.0229
2.50 1.0115 0.9629 0.9301 0.9057 0.9587 1.0131
2.60 1.0022 0.9553 0.9235 0.8997 0.9497 1.0040
2.70 0.9935 0.9482 0.9173 0.8941 0.9414 0.9956
2.80 0.9854 0.9416 0.9114 0.8887 0.9336 0.9877
2.90 0.9778 0.9353 0.9059 0.8837 0.9263 0.9804
3.00 0.9707 0.9294 0.9007 0.8788 0.9194 0.9735
3.10 0.9640 0.9238 0.8957 0.8742 0.9130 0.9670
3.20 0.9577 0.9185 0.8910 0.8699 0.9069 0.9609
3.30 0.9518 0.9135 0.8865 0.8657 0.9011 0.9551
3.40 0.9461 0.9087 0.8821 0.8616 0.8956 0.9496
3.50 0.9407 0.9041 0.8780 0.8578 0.8904 0.9444
3.60 0.9356 0.8997 0.8740 0.8540 0.8855 0.9395
3.70 0.9308 0.8955 0.8702 0.8505 0.8808 0.9348
3.80 0.9261 0.8915 0.8666 0.8470 0.8763 0.9302
3.90 0.9216 0.8876 0.8630 0.8437 0.8720 0.9259
4.00 0.9174 0.8839 0.8596 0.8404 0.8678 0.9218
4.10 0.9133 0.8803 0.8563 0.8373 0.8639 0.9178
4.20 0.9093 0.8769 0.8531 0.8343 0.8600 0.9140
4.30 0.9056 0.8736 0.8500 0.8314 0.8564 0.9103
4.40 0.9019 0.8703 0.8470 0.8285 0.8528 0.9068
4.50 0.8984 0.8672 0.8441 0.8258 0.8494 0.9033
4.60 0.8950 0.8642 0.8413 0.8231 0.8461 0.9000
4.70 0.8917 0.8612 0.8386 0.8205 0.8429 0.8968
4.80 0.8885 0.8584 0.8359 0.8179 0.8398 0.8937
4.90 0.8854 0.8556 0.8333 0.8154 0.8368 0.8907
5.00 0.8824 0.8529 0.8308 0.8130 0.8339 0.8878
6.00 0.8566 0.8295 0.8086 0.7916 0.8090 0.8627
7.00 0.8363 0.8106 0.7906 0.7742 0.7893 0.8428
8.00 0.8195 0.7948 0.7754 0.7594 0.7731 0.8264
9.00 0.8052 0.7813 0.7623 0.7465 0.7593 0.8124
10.0 0.7927 0.7694 0.7508 0.7353 0.7474 0.8001
20.0 0.7165 0.6956 0.6786 0.6643 0.6743 0.7247
30.0 0.6751 0.6552 0.6389 0.6253 0.6349 0.6834
40.0 0.6469 0.6276 0.6118 0.5986 0.6081 0.6551
50.0 0.6256 0.6068 0.5914 0.5785 0.5879 0.6338
60.0 0.6086 0.5901 0.5751 0.5625 0.5718 0.6167
70.0 0.5945 0.5764 0.5616 0.5492 0.5585 0.6025
80.0 0.5825 0.5646 0.5501 0.5379 0.5471 0.5904
90.0 0.5720 0.5544 0.5401 0.5280 0.5372 0.5799
100 0.5628 0.5454 0.5312 0.5194 0.5285 0.5706
200 0.5050 0.4891 0.4761 0.4653 0.4740 0.5122
300 0.4735 0.4584 0.4461 0.4357 0.4444 0.4804
400 0.4521 0.4373 0.4250 0.4144 0.4245 0.4585
